App,Reviews
Facebook,78158306
WhatsApp Messenger,69119316
Instagram,66577446
Messenger – Text and Video Chat for Free,56646578
Clash of Clans,44893888
Clean Master- Space Cleaner & Antivirus,42916526
Subway Surfers,27725352
YouTube,25655305
"Security Master - Antivirus, VPN, AppLock, Booster",24900999
Clash Royale,23136735
Candy Crush Saga,22430188
UC Browser - Fast Download Private & Secure,17714850
Snapchat,17015352
"360 Security - Free Antivirus, Booster, Cleaner",16771865
My Talking Tom,14892469
8 Ball Pool,14201891
DU Battery Saver - Battery Charger & Battery Life,13479633
BBM - Free Calls & Messages,12843436
Cache Cleaner-DU Speed Booster (booster & cleaner),12759815
Twitter,11667403
